Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C0603",-141.268600,-101.523600,90.000000,bottom
"C3","CGA4J3X5R1H475K","C0805K",-139.723600,-101.428600,90.000000,bottom
"C4","0.1u","C0603K",-143.348600,-101.033600,180.000000,bottom
"C6","0.01u","C0603",-142.983600,-103.603600,270.000000,bottom
"D1","MM3Z3V3T1G","SOD323-R",-154.518600,-108.448600,90.000000,bottom
"R1","WSLP0603R0500FEA","0805C",-150.984600,-100.483600,0.000000,bottom
"R2","WSLP0603R0500FEA","0805C",-146.628600,-100.448600,0.000000,bottom
"R3","33k","R0603",-156.748600,-109.548600,0.000000,bottom
"R5","33k","R0603",-156.743600,-107.178600,0.000000,bottom
"U$2","EVM-3YSX50B14","TRIMMER3MM",155.918600,-101.473600,90.000000,top
